,GSM1369756,GSM1369757,GSM1369758,GSM1369759,GSM1369760,GSM1369761,GSM1369762,GSM1369763,GSM1369764,GSM1369765,GSM1369766,GSM1369767,GSM1369768,GSM1369769,GSM1369770,GSM1369771,GSM1369772,GSM1369773,GSM1369774,GSM1369775,GSM1369776,GSM1369777,GSM1369778,GSM1369779,GSM1369780,GSM1369781,GSM1369782,GSM1369783,GSM1369784,GSM1369785,GSM1369786,GSM1369787,GSM1369788,GSM1369789,GSM1369790,GSM1369791,GSM1369792,GSM1369793,GSM1369794,GSM1369795,GSM1369796,GSM1369797,GSM1369798,GSM1369799,GSM1369800,GSM1369801,GSM1369802,GSM1369803,GSM1369804,GSM1369805,GSM1369806,GSM1369807,GSM1369808,GSM1369809,GSM1369810,GSM1369811,GSM1369812,GSM1369813,GSM1369814,GSM1369815,GSM1369816,GSM1369817,GSM1369818,GSM1369819,GSM1369820,GSM1369821,GSM1369822,GSM1369823,GSM1369824,GSM1369825,GSM1369826,GSM1369827,GSM1369828,GSM1369829,GSM1369830,GSM1369831,GSM1369832,GSM1369833,GSM1369834,GSM1369835
LOC100506124 /// TTC21B,2.723051328,2.716017174,2.695227431,2.668108792,2.6737169,2.658657956,2.682806923,2.689381146,2.662893422,2.694263193,2.634969526,2.651328626,2.699613674,2.667448404,2.680087605,2.700385907,2.675214504,2.669687686,2.673428414,2.700229824,2.679973813,2.674024004,2.673845923,2.637745228,2.672592895,2.679113707,2.675812204,2.667771018,2.659546379,2.690020168,2.670048692,2.65599981,2.637522591,2.680087605,2.635133793,2.717849288,2.639186681,2.647033821,2.680427353,2.662710516,2.653442616,2.675104082,2.643738745,2.706298755,2.658756902,2.666016675,2.680679889,2.68702164,2.634347653,2.732671945,2.678783633,2.677042213,2.696219292,2.700499508,2.683929306,2.650737054,2.656471803,2.648314257,2.670931634,2.662710516,2.696219292,2.670709092,2.646843296,2.690020168,2.678783633,2.692320552,2.688366967,2.69580954,2.70902501,2.658342286,2.652029993,2.67306841,2.642554082,2.683650944,2.646901607,2.676543511,2.665161267,2.68638507,2.667771018,2.678341131
LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA,3.603564257,3.53561891,3.543261437,3.560669341,3.595419636,3.601168319,3.615018722,3.570127926,3.561945492,3.549723285,3.616113212,3.581106284,3.584806555,3.556230786,3.631950685,3.632682857,3.582995611,3.63820467,3.581523437,3.560669341,3.610315038,3.582995611,3.561090107,3.560669341,3.609108576,3.619507053,3.628674753,3.596036819,3.592303083,3.610315038,3.587506532,3.601747147,3.596579983,3.562729709,3.618966431,3.607723515,3.636127414,3.589987729,3.590912617,3.578902668,3.647737687,3.580319082,3.675929792,3.649321928,3.632682857,3.604242115,3.649905613,3.65859393,3.659922722,3.652077374,3.636127414,3.645683991,3.590912617,3.642872718,3.628674753,3.660614373,3.620102693,3.647737687,3.62810701,3.620652529,3.622486249,3.647003772,3.636127414,3.601747147,3.652077374,3.654569778,3.633347584,3.626607416,3.603564257,3.656507456,3.608412017,3.646344905,3.617577473,3.584806555,3.598108925,3.596036819,3.587506532,3.624595548,3.589987729,3.574760613
LOC100506282,2.638488502,2.591770607,2.599055818,2.616348605,2.673478281,2.621931919,2.632418544,2.620556071,2.632221982,2.618794039,2.657956391,2.622738477,2.63625841,2.656535481,2.650279938,2.626112707,2.665698194,2.663292325,2.61659597,2.681381226,2.658397088,2.592386687,2.645462131,2.619946967,2.635133793,2.64904496,2.634760029,2.617806345,2.62581239,2.675161915,2.659546379,2.651328626,2.644222689,2.650737054,2.636963687,2.642957914,2.620556071,2.620635438,2.634127337,2.67207745,2.613947983,2.633995113,2.638695781,2.627923283,2.652152029,2.652808701,2.647172584,2.60746578,2.625667836,2.633728283,2.627674691,2.631052943,2.66581591,2.612272906,2.63814456,2.652029993,2.609880219,2.658397088,2.613099909,2.60730762,2.625315502,2.633665552,2.610701898,2.643586635,2.611110909,2.588657924,2.636963687,2.628392743,2.615653156,2.634347653,2.615501073,2.666016675,2.60161456,2.651828296,2.643036118,2.621480773,2.630284438,2.636195136,2.626183099,2.604814456
LOC100506403 /// LOC101928269 /// RUNX1,2.874896637,2.870359974,2.860475893,2.874856527,2.847917484,2.875612499,2.859489323,2.855735281,2.851235518,2.872836838,2.84782893,2.864813236,2.883857137,2.861168762,2.876334339,2.872616657,2.864590951,2.881185229,2.868693281,2.864270196,2.869760185,2.877456366,2.881337042,2.861708143,2.869812752,2.869063584,2.871364974,2.858252865,2.864675272,2.872515107,2.877608454,2.874619389,2.866073152,2.877224079,2.87656329,2.885798371,2.857787887,2.880885246,2.890139591,2.87031775,2.873071615,2.861074451,2.878967316,2.867197802,2.864760749,2.877124454,2.865450495,2.87901262,2.869296381,2.875903053,2.872560382,2.85565099,2.84871632,2.86578549,2.868505336,2.877404552,2.87607906,2.852857825,2.877930982,2.87607906,2.873071615,2.868188934,2.884051573,2.883116865,2.864760749,2.878024661,2.888670723,2.874053413,2.865364207,2.886510001,2.885553156,2.867952147,2.878068454,2.869203864,2.881495947,2.871953173,2.870951973,2.869812752,2.867197802,2.867719318
LOC100506469,2.965370558,2.95517969,2.949225098,2.968611126,2.957922573,2.92441145,2.948951385,2.967255481,2.932588314,2.956482826,2.896076133,2.925709429,2.958489981,2.935004232,2.908474517,2.9445166,2.931172423,2.904977673,2.965719834,2.971736694,2.917197396,2.967315671,2.932699601,2.912957661,2.939020681,2.960104847,2.941180835,2.936775509,2.917790162,2.975482073,2.943847305,2.949940972,2.906512075,2.954438698,2.964341252,2.930968122,2.954816487,2.965069479,2.936832188,2.924100583,2.925107123,2.923207841,2.953737245,2.969065436,2.943910002,2.937729126,2.941360225,2.966457938,2.950759581,3.002780704,2.966399571,2.946957232,2.940108138,2.937574471,2.923353819,2.982334588,2.910994942,2.943847305,2.960936268,2.951396429,2.964018862,2.937965805,2.971181645,2.935505976,2.954816487,2.915911499,2.940644349,2.969761595,2.960529981,2.94520913,2.993099326,2.947056675,2.930184706,2.9481254,2.955116956,2.925054929,2.978810617,2.9481254,2.933684561,2.961206113
LOC100506504,2.95577167,2.967536868,2.95900202,3.010065523,2.980344742,2.958714915,2.979979634,2.959887036,2.989856728,2.973776731,2.958549198,2.967195629,2.977822131,2.967889761,2.965956716,2.914506254,2.941581787,2.957008318,2.976332581,2.932747064,2.955003701,3.00639412,2.983410284,2.985128646,2.965069479,2.999720377,2.970210708,2.995506838,2.988061406,2.969218916,2.957448851,2.946073564,2.972787556,2.958881831,2.970210708,2.963462782,2.970904418,2.973262539,2.968611126,2.972407877,2.964401801,3.050515202,2.991422328,2.985341324,3.008142413,2.932319802,2.947598546,2.924774576,2.99942356,2.939086203,2.955927037,3.000514093,2.958714915,2.977117605,2.957099067,2.947870668,2.983196049,2.980678562,2.949589556,2.973605157,2.960161035,2.964401801,2.969499294,2.955613274,2.966457938,2.945601353,2.969920277,2.961362216,2.978919192,2.957143957,2.968334989,2.940588969,2.966235748,2.98367644,2.960583897,2.947056675,2.971460157,2.969920277,2.92996424,2.941016932
LOC100506558 /// MATN2,2.530459494,2.566178879,2.555360891,2.567067058,2.544802796,2.560731215,2.557271008,2.54602846,2.541834575,2.554500246,2.560731215,2.537134065,2.544543359,2.566768086,2.53729353,2.554867526,2.560497225,2.562026538,2.530108192,2.54549501,2.560017794,2.545194859,2.553573374,2.513126489,2.552800823,2.55512277,2.582376573,2.530459494,2.551355759,2.576862219,2.558511277,2.585828993,2.570823231,2.532246724,2.517773883,2.557531795,2.560398393,2.538276206,2.568088562,2.548448719,2.557789027,2.523401238,2.602146699,2.559405272,2.539849216,2.55304028,2.576184017,2.555594239,2.570709047,2.567411431,2.563147023,2.570382516,2.559405272,2.568745539,2.563446239,2.548297358,2.551230932,2.576139303,2.550547118,2.526718937,2.538407856,2.543902971,2.558511277,2.569742081,2.577041111,2.553711401,2.562709125,2.558401942,2.579020453,2.566870243,2.594211603,2.565209537,2.551887333,2.542110042,2.547715251,2.533235917,2.531709032,2.531360452,2.547993586,2.543574373
LOC100506571,2.992080669,2.932217323,2.932166859,2.939203125,2.9917243,2.906619891,3.049866443,2.972677919,2.952966997,2.909613576,2.969172061,2.970320088,2.970098912,2.917591112,2.931172423,2.943627,2.990669927,2.957696466,2.908034478,2.970607327,2.961148067,2.957922573,2.958153864,2.928902609,2.96612334,2.934784327,2.896901205,2.941465367,2.991316081,3.013186484,2.992606855,2.935955558,2.923152079,2.988453107,2.841563905,2.99538043,2.954325894,2.90818817,2.9481254,2.962870565,2.954544933,3.049112972,2.976150561,2.954163613,2.948177714,2.996494885,2.927772555,2.901590587,2.943405165,2.92808966,2.929376689,2.92817312,3.01160374,2.90111762,2.935418576,2.925054929,2.949896336,2.941332428,2.910623913,2.943458528,2.94878992,2.9216484,2.97157322,2.942778177,2.978047974,2.954604255,2.919772705,2.949275901,2.908524906,2.904456021,2.910172584,3.048802376,2.950324689,2.95396236,2.975937773,2.992080669,2.943627,2.958605247,2.989617522,2.924151179
LOC100506603,2.757444297,2.803434682,2.72537467,2.726674363,2.707385875,2.756342532,2.767140129,2.76995224,2.756771069,2.750814346,2.73252203,2.736489406,2.764589007,2.730906429,2.759425406,2.728350784,2.769459115,2.760299402,2.800765601,2.742280426,2.728874792,2.744595057,2.753822803,2.728078716,2.746730672,2.74277929,2.754319735,2.721490244,2.737630987,2.741349488,2.739679859,2.758051082,2.758607228,2.759497796,2.762828936,2.726126727,2.735971555,2.721005496,2.749839232,2.755854321,2.754905727,2.718887984,2.76876146,2.7809747,2.738717792,2.753147275,2.752242888,2.746752236,2.733034328,2.747010734,2.757141212,2.744429111,2.747811147,2.734785513,2.745001264,2.762468008,2.753394699,2.734092385,2.740914642,2.787937219,2.756688279,2.738321435,2.763505095,2.754485608,2.743076121,2.722586101,2.769990874,2.741154315,2.740210673,2.74767398,2.757883272,2.731937982,2.72386976,2.725798462,2.718601485,2.7351917,2.742840451,2.730027782,2.727778843,2.753342912
LOC100506639 /// ZNF131,2.952021929,2.917197396,2.895140814,2.906957986,2.900005061,2.953177539,2.949326375,2.885743617,2.92191704,2.946567974,2.84180286,2.981829985,2.94130463,2.931500843,2.916759451,2.964125023,2.900483476,2.931395944,2.876471701,2.872704121,2.96280722,2.96455624,2.881932327,2.908667892,2.926017167,2.833317622,2.944669939,2.931952592,2.867121754,2.78898667,2.898645106,2.826190671,2.879160559,2.871953173,2.87298541,2.873317612,2.911456903,2.85885078,2.879214358,2.915588761,2.960367245,2.857464638,2.898545039,2.878406734,2.896076133,2.83014927,2.996550205,2.960318493,2.954213511,2.886166591,2.892236491,2.920774498,2.855777168,2.93091532,2.90111762,2.924774576,2.967437385,2.957476204,2.975646734,2.909792653,2.890291955,2.91585345,2.935905215,2.848216442,2.888759416,2.833421533,2.892781714,2.872747039,2.895186836,2.964663089,2.851859203,2.86656136,2.921813757,3.008439069,2.79288649,2.862979211,2.864949989,2.948627775,2.865275713,2.938661883
LOC100506699,2.62552686,2.62452777,2.604542888,2.655538954,2.64310532,2.602586904,2.628227634,2.612272906,2.593835368,2.619697743,2.625963312,2.638423364,2.621791798,2.6210155,2.600284816,2.665467265,2.640758625,2.623091296,2.639736041,2.607038145,2.629272915,2.60597861,2.629428158,2.602938585,2.608336062,2.62581239,2.622445904,2.606073132,2.616867794,2.64904496,2.643519921,2.656604343,2.62164849,2.639896133,2.599215138,2.645264856,2.601688393,2.598790048,2.625315502,2.629428158,2.618859204,2.604260823,2.653470862,2.619946967,2.613508354,2.62709518,2.659310712,2.608655643,2.646901607,2.65671792,2.62731792,2.626183099,2.587453341,2.640523219,2.616272572,2.605247628,2.631464572,2.589348544,2.612354209,2.635731594,2.635856064,2.623476991,2.61102388,2.624397574,2.624592569,2.625383222,2.654777458,2.666369959,2.66910236,2.614187185,2.638695781,2.618551631,2.625595351,2.620780646,2.630085978,2.653852851,2.629999695,2.647518841,2.618794039,2.63814456
LOC100507388,2.914694485,2.901972049,2.84856145,2.883394549,2.871679166,2.851413662,2.868140855,2.861256633,2.88100976,2.898353081,2.858637974,2.782291407,2.850574654,2.872616657,2.813943503,2.867995611,2.875416317,2.818345575,2.824584556,2.806488938,2.821241526,2.850708884,2.819477254,2.853958999,2.829932818,2.846708497,2.823917314,2.852131809,2.853290265,2.868279281,2.886016004,2.880019035,2.821338498,2.843990252,2.878406734,2.869405836,2.873317612,2.881389035,2.860295049,2.86915664,2.842839565,2.914050537,2.877404552,2.853581585,2.888240662,2.868368102,2.861842335,2.918260556,2.864004521,2.845294997,2.854970289,2.861708143,2.874576614,2.91488159,2.895770591,2.826732086,2.820096277,2.862334126,2.865687459,2.885743617,2.896466384,2.840617067,2.888101374,2.845446575,2.861256633,2.863374911,2.853537074,2.919667695,2.880490635,2.847511648,2.879308675,2.857691757,2.891874208,2.844838716,2.872425295,2.860566172,2.885443066,2.841563905,2.86025043,2.82935717
LOC100507472 /// PCSK6,2.960419392,2.906862555,2.931448594,2.911545611,2.885202,2.991481358,2.988120962,2.92159692,2.953312496,2.898933521,2.971736694,2.932396223,2.89679811,2.898590528,2.949326375,2.903395856,2.875460729,2.915383575,2.904048577,2.959942633,2.917847579,2.919772705,2.925913493,2.925491801,2.906243842,2.938710924,2.931395944,2.922548971,2.901458789,2.903649579,2.908614379,2.882511827,2.919291869,2.888528583,2.910029443,2.899473108,2.960777413,2.920923024,2.88245608,2.918004193,2.890291955,2.953415013,2.948894669,2.904721188,2.910077645,2.915911499,2.922793138,2.943030956,2.87380248,2.942699189,2.960367245,2.959221985,2.876290264,2.950808877,2.915963061,2.899813581,2.966976707,3.018371191,2.918730961,2.907651581,2.903255503,2.90217252,2.892984556,2.870951973,2.925865444,2.885597157,2.907605529,2.888715066,2.915383575,2.905675391,2.873273324,2.912345318,2.869664912,2.890614969,2.8972378,2.881337042,2.909832901,2.901063005,2.912648626,2.936620256
LOC100507577 /// LONP2,3.204392017,3.178847012,3.195134778,3.125942326,3.373615707,3.185547658,3.158707046,3.166704056,3.204745516,3.193397688,3.207501301,3.228161727,3.097138301,3.213772522,3.243640087,3.151220579,3.162115297,3.117960106,3.206188366,3.156501678,3.069795366,3.071717659,3.197721832,3.257126539,3.077449119,3.039661897,3.092877723,3.167321821,3.212417205,3.181088956,3.131428056,3.073046042,3.133048734,3.07091235,3.152508322,3.087607223,3.147953987,3.083897194,3.142228211,3.117083977,3.173961016,3.273271612,3.13281686,3.12273068,3.122971992,3.121459614,3.109464486,3.200677523,3.181017205,3.143520821,3.168918029,3.192097134,3.201439284,3.126337905,3.168082641,3.125675634,3.220105787,3.153668544,3.161397957,3.206188366,3.197246369,3.108994556,3.113226013,3.112367093,3.16882502,3.13151022,3.164264015,3.075340512,3.127577152,3.116564078,3.126560695,3.182387328,3.189236951,3.172057028,3.156252056,3.083897194,3.195403222,3.173631805,3.142754057,3.148673307
LOC100507577 /// LONP2 /// SIAH1,2.868505336,2.79162861,2.784636115,2.77913237,2.946411036,2.920186306,2.881096707,2.864043336,2.81379466,2.889035458,2.845252363,2.804299651,2.809309011,2.800364323,2.959333393,2.885649741,2.827023733,2.913801859,2.85798325,2.822549843,2.768028614,2.75952081,2.87163523,2.895859456,2.80614391,2.808488458,2.802146856,2.845090365,2.876373978,2.893937932,2.775584865,2.827919441,2.850210708,2.79381128,2.844880044,2.81230052,2.809778564,2.739174976,2.861790519,2.807987995,2.803071152,2.917161327,2.761477068,2.787524941,2.78724763,2.866237692,2.797117097,2.896849456,2.848347961,2.813383335,2.889944635,2.870218263,2.837424497,2.806444803,2.842157759,2.83818724,2.839386852,2.826285423,2.837763289,2.893996666,2.885553156,2.793362635,2.812753715,2.786485143,2.822253243,2.825317121,2.842640386,2.739919379,2.778356981,2.802102799,2.818859398,2.791435323,2.828646233,2.921029239,2.832669678,2.829405269,2.871083755,2.874661148,2.837812868,2.881680932
LOC100507630,2.75264361,2.743378696,2.780615005,2.751902026,2.894105143,2.789477356,2.79086195,2.944669939,3.031698868,2.719866679,2.771219356,2.766865249,2.912853382,2.765997035,2.887547283,2.810436248,3.015574862,2.936724097,2.745400485,2.947108699,2.824540291,2.796728993,2.814251073,2.789963541,2.799647618,2.783058374,2.761154568,2.771454814,2.800818356,3.000432641,3.013693667,2.86229231,2.965667818,2.778260979,2.788564953,2.794717404,2.767917512,2.751735473,2.83014927,2.813320673,2.707070854,2.83771262,2.707181009,2.677729351,2.746424972,3.056838913,2.730305384,2.721240133,2.692127027,2.731640357,2.69339826,2.764589007,2.92581396,2.733952234,2.716305513,2.719761311,2.75865904,2.766920094,2.692536668,2.76096359,2.776131025,2.748475164,2.730752931,2.72203485,2.723005748,2.708939166,2.694868298,2.736225895,2.715678144,2.706815506,2.761672574,2.864632197,2.736375297,2.88596926,2.852333335,2.881560337,2.802889696,2.768124388,2.824358658,2.796443222
LOC100508408 /// RPS13 /// SNORD14B,3.835652333,3.831582701,3.820777268,3.834362963,3.835652333,3.825003195,3.830361119,3.836789951,3.819160273,3.830361119,3.825003195,3.825003195,3.823572658,3.834362963,3.834362963,3.833104212,3.829054041,3.817715422,3.829054041,3.817715422,3.835652333,3.827814509,3.827814509,3.827814509,3.825003195,3.827814509,3.829054041,3.829054041,3.835652333,3.833104212,3.842391651,3.841145358,3.816183669,3.834362963,3.831582701,3.822139115,3.826378088,3.833104212,3.822139115,3.826378088,3.826378088,3.822139115,3.827814509,3.842391651,3.827814509,3.843727716,3.822139115,3.834362963,3.823572658,3.803847749,3.831582701,3.833104212,3.826378088,3.820777268,3.830361119,3.825003195,3.833104212,3.822139115,3.829054041,3.825003195,3.834362963,3.825003195,3.829054041,3.827814509,3.835652333,3.822139115,3.829054041,3.833104212,3.833104212,3.826378088,3.825003195,3.827814509,3.831582701,3.826378088,3.843727716,3.822139115,3.839570099,3.823572658,3.827814509,3.829054041
LOC100509646 /// PRY /// PRY2,3.107303997,3.085415042,3.059461669,3.105123272,3.137950944,3.08186703,3.125183349,3.149442862,3.117723977,3.088569125,3.05316097,3.104500427,3.115335407,3.059524606,3.083201676,3.06938115,3.112910128,3.076716709,3.082785761,3.098275207,3.101654954,3.056838913,3.085559205,3.06572868,3.097748873,3.05603526,3.067145676,3.096396016,3.10942114,3.103925563,3.147717962,3.047945187,3.067741272,3.082210528,3.058143753,3.10972082,3.083762577,3.091581,3.113841313,3.109818965,3.108927454,3.181017205,3.046904739,3.080897373,3.080295265,3.102502287,3.038034006,3.103223617,3.059917147,3.11033881,3.0949903,3.079660868,2.994068515,3.09508342,3.096543189,3.080295265,3.085203355,3.084623245,3.063754776,3.031072956,3.07398376,3.083414822,3.035665612,3.128979365,3.109302438,3.122183022,3.094612647,3.108994556,3.090851425,3.044896772,3.107995787,3.08634582,3.085920961,3.05316097,3.125607297,3.077382151,3.086420006,3.097271728,3.08914588,3.070987025
LOC100652777 /// PLA2G10,2.831492123,2.862047594,2.85784135,2.845115183,2.844079778,2.887725282,2.850796834,2.892483157,2.843467203,2.799511683,2.868745761,2.891221377,2.868459829,2.818108242,2.878833058,2.831582167,2.874619389,2.864176065,2.87157025,2.868773065,2.879117642,2.861074451,2.891085142,2.84871632,2.905189653,2.877266672,2.876424976,2.846829269,2.873196357,2.888015058,2.859856032,2.856754305,2.891930662,2.87736264,2.88321363,2.855627322,2.888015058,2.860893971,2.876252237,2.872001149,2.862979211,2.910382611,2.874945123,2.85784135,2.895951921,2.904508383,2.873608095,2.869296381,2.861256633,2.854348836,2.871858383,2.881680932,2.839065869,2.876424976,2.864270196,2.865128519,2.881185229,2.82724175,2.860475893,2.85565099,2.890751621,2.852333335,2.825704437,2.846620041,2.890518469,2.895433888,2.849818475,2.887680734,2.92159692,2.862979211,2.903067379,2.888759416,2.888062242,2.864130176,2.886244117,2.85908042,2.897004373,2.900507125,2.894083179,2.879547038
LOC100652930 /// NPEPL1 /// STX16-NPEPL1,2.961888228,2.938865349,2.89532672,2.924667465,2.842032368,3.007904398,2.923621537,2.928945803,2.875612499,2.909480294,2.905992723,2.944944929,2.962746634,2.925327413,2.92621277,2.979434941,3.002108094,3.004251844,2.911496673,2.880019035,2.951109969,2.955876358,2.937104731,2.932699601,2.982278328,2.940010743,2.977879941,2.900061843,2.991481358,2.956438437,2.941465367,2.970429994,2.990794951,2.973314022,2.985290064,2.959394653,2.951621174,2.9482865,2.971628132,2.942389674,2.93091532,2.872881371,2.935805789,2.96233464,2.939782415,2.957922573,2.940219425,2.938914796,2.937677384,2.938147033,2.980678562,2.915540709,2.940168531,2.953536406,2.936012309,2.950546398,2.926115749,2.946524509,2.921870488,2.955670556,2.921081949,2.978416188,2.914050537,2.94937067,2.855558663,2.993023803,2.979814985,2.952096084,3.022695828,2.948396718,2.957871179,2.975716551,2.934571936,2.96308239,2.947439771,2.938478375,2.963145413,2.958331296,2.96669032,2.994927668
LOC100652931 /// RBMY2FP,2.734092385,2.756994762,2.716165346,2.745456423,2.738773366,2.721827513,2.746589815,2.750120089,2.733034328,2.756771069,2.747385787,2.764030803,2.709676654,2.737918666,2.748179521,2.707181009,2.74454448,2.77235942,2.749050902,2.748717099,2.733034328,2.743918266,2.710165814,2.678341131,2.728831459,2.759140875,2.738935973,2.739327945,2.737776914,2.721062569,2.727778843,2.718553729,2.746730672,2.714845156,2.757141212,2.736119638,2.713776877,2.770348453,2.724424485,2.76950694,2.718183101,2.73414393,2.734637641,2.740811818,2.72392475,2.731294676,2.704197995,2.749050902,2.740166402,2.776913315,2.772869029,2.734662958,2.75304278,2.737486931,2.763844303,2.808829571,2.725851101,2.75425147,2.78878927,2.74504908,2.73414393,2.778491041,2.731833376,2.739775512,2.774225485,2.740762484,2.762183697,2.744953488,2.787144961,2.76575861,2.744132369,2.739327945,2.746536955,2.734637641,2.748518009,2.726153313,2.704517892,2.729436453,2.710456322,2.756396758
LOC100862671 /// SRCAP,2.964125023,2.992438229,2.964454505,3.015962534,2.970210708,2.996494885,3.016476028,3.041318435,2.999061047,2.972407877,2.932995985,3.017477514,2.993850512,2.979189299,2.972462895,2.987649873,3.04886972,2.980499507,2.959282541,3.002108094,2.966182895,2.974850193,2.979132717,2.962870565,2.993335841,2.979926257,2.979979634,2.983301395,3.008568608,2.99596526,2.993676113,2.971971931,3.019339325,3.01700643,2.991848623,2.997409372,2.990276041,3.000210812,2.967087325,2.988237799,2.994017581,2.948230236,3.003210849,3.003315813,2.99660326,2.985128646,2.992385266,2.999601606,2.991922028,3.018741769,3.001446504,3.019399956,2.983587189,3.005031106,2.998880013,2.998633246,2.991253168,2.987944484,3.007956193,3.015452681,2.973040235,2.977438654,2.987699502,3.010702709,2.986158839,3.016105588,2.994242772,3.004604508,3.029092478,2.994017581,2.99936477,3.041389312,2.984833074,3.009618769,3.001028206,2.985341324,2.986774995,2.993630886,2.982673645,2.995570364
LOC100996325,2.519312455,2.517173378,2.543902971,2.506390738,2.523401238,2.497994591,2.50211796,2.517491126,2.519994867,2.497352782,2.514018321,2.514337933,2.48838396,2.507557385,2.510843968,2.505996144,2.514337933,2.532583356,2.516147293,2.520713964,2.520713964,2.499651644,2.526333214,2.506390738,2.512262558,2.499651644,2.502637374,2.517491126,2.517491126,2.515891381,2.525731924,2.516966263,2.548597085,2.501648623,2.511538244,2.514337933,2.516966263,2.501648623,2.531175148,2.517069824,2.522262192,2.524011343,2.540530612,2.530259408,2.503667454,2.518581765,2.515011438,2.512262558,2.507974976,2.51117071,2.501648623,2.514337933,2.495551813,2.534150102,2.50843797,2.503667454,2.509147444,2.527532617,2.523401238,2.512262558,2.522463788,2.527337484,2.514733498,2.505996144,2.511538244,2.505575385,2.527337484,2.524229205,2.516486768,2.508750355,2.513702423,2.520228247,2.506390738,2.50950907,2.507125629,2.516486768,2.516966263,2.524011343,2.531017044,2.512262558
LOC100996517 /// LOC102724364 /// SEC22B,3.133298003,3.15567435,3.221090224,3.15502581,3.118218934,3.129612712,3.071389314,3.122115128,3.185674684,3.170950457,3.192097134,3.121077022,3.047098949,3.173801655,3.129612712,3.117335716,3.05337544,3.071655154,3.183663152,3.170067292,3.103925563,3.076571209,3.102050919,3.125343389,3.099166536,3.167410497,3.115827387,3.127749259,3.060646021,3.072068896,3.131678709,3.110900234,3.097408554,3.137950944,3.05959449,3.11109257,3.123996578,3.087908275,3.140581132,3.122655473,3.148091168,3.121007186,3.080368363,3.098201941,3.1159021,3.142754057,3.186394841,3.118625126,3.137528515,3.087607223,3.150599311,3.131022686,3.20955308,3.125942326,3.111984467,3.131352743,3.10989343,3.120165168,3.121548465,3.084075097,3.14755364,3.137604005,3.149760864,3.117006694,3.122037778,3.092877723,3.129202785,3.096543189,3.127749259,3.094913208,3.089007425,3.082913886,3.121873109,3.096833245,3.098945006,3.10819221,3.105463247,3.170143014,3.11557031,3.081726112
LOC100996668 /// ZEB1,2.659110975,2.647383095,2.685273839,2.657707406,2.71756394,2.662521717,2.680898746,2.675454834,2.663405895,2.666614391,2.677338311,2.67306841,2.661988671,2.655867508,2.681468727,2.682020144,2.66157184,2.686962044,2.666248784,2.648314257,2.650560419,2.667910282,2.670168792,2.660487098,2.677338311,2.657649121,2.67253895,2.673533647,2.65599981,2.661098254,2.659110975,2.644607994,2.655414568,2.646495848,2.653372362,2.684521179,2.682446899,2.656345007,2.656657859,2.657270161,2.694152191,2.659193394,2.659725885,2.655927232,2.684412254,2.655806976,2.646965221,2.651584921,2.663648769,2.665087876,2.64778569,2.653852851,2.674343947,2.666678983,2.670048692,2.654890357,2.668492975,2.707279168,2.682335998,2.663854191,2.6832402,2.661644599,2.671783087,2.674481083,2.680427353,2.641295058,2.683112014,2.663580803,2.637814643,2.655927232,2.661317821,2.663854191,2.67151771,2.666369959,2.652579745,2.656956387,2.66576188,2.696382921,2.670931634,2.654310604
LOC100996693 /// SPEG,2.735718725,2.743771508,2.790136273,2.74941109,2.805888878,2.764915313,2.80462146,2.815190828,2.795912863,2.759616555,2.703277918,2.779493331,2.839746437,2.731343429,2.813552575,2.874760082,2.821514546,2.806825429,2.764135343,2.841235259,2.804097953,2.760051639,2.778736493,2.783337677,2.816689145,2.75402821,2.750024218,2.77889397,2.767140129,2.804470787,2.796156836,2.798648976,2.82502642,2.795641538,2.809358217,2.774583605,2.773067228,2.787937219,2.781297344,2.780083919,2.776811055,2.775100463,2.774884533,2.74838092,2.738889354,2.782773942,2.782381846,2.741049331,2.763371278,2.76053257,2.766620095,2.764082837,2.863501124,2.754720813,2.769594179,2.780787111,2.804521878,2.737776914,2.734000505,2.767053852,2.781761084,2.788028171,2.767008237,2.759189913,2.799246037,2.77755366,2.796915917,2.753147275,2.795576065,2.758352225,2.790377488,2.770547076,2.759573019,2.809074534,2.801423096,2.805940102,2.785423379,2.808445874,2.77529762,2.823591211
LOC100996696 /// PABPC4,3.368672818,3.357986747,3.308681861,3.370231776,3.311063022,3.370739094,3.364238832,3.352705313,3.358158671,3.366276483,3.339447442,3.361322601,3.382774,3.372513213,3.36878796,3.367456112,3.378558799,3.350378831,3.362896749,3.263657049,3.389879374,3.376335617,3.285153364,3.289368498,3.349099754,3.299114991,3.369134724,3.316256283,3.370231776,3.380901716,3.395227818,3.413043646,3.382956241,3.36560085,3.361603902,3.321002874,3.338791538,3.290666042,3.400430807,3.389591385,3.340709055,3.303518836,3.295925862,3.399893279,3.334527731,3.34015707,3.386918182,3.358911019,3.344669335,3.389240659,3.42355703,3.346331859,3.344267418,3.383310464,3.329756383,3.366544921,3.291999936,3.328635982,3.377887942,3.399354461,3.356934089,3.307063583,3.33867418,3.362303193,3.342503333,3.335898152,3.400936199,3.356382581,3.359057579,3.337412091,3.333794471,3.424812012,3.330112736,3.393852425,3.392405696,3.26829646,3.38813432,3.315862329,3.305012614,3.394377998
