"","GSM6206942","GSM6206943","GSM6206944","GSM6206945","GSM6206946","GSM6206947","GSM6206948","GSM6206949","GSM6206950","GSM6206951","GSM6206952","GSM6206953","GSM6206954","GSM6206955","GSM6206956","GSM6206957","GSM6206958","GSM6206959","GSM6206960","GSM6206961","GSM6206962","GSM6206963"
"ACAD10",0.583583294605158,-0.137243630248141,0.603041653757061,0.646116632594297,0.733379057880264,-0.198905874230318,0.211145661596705,-0.371852300362395,0.815170538968994,0.0963006303903443,0.690008570551986,0.144147840020685,0.229313609323344,-1.12771562930097,-0.122768057304597,0.0231092424023453,-0.840384761159302,-0.471505020453976,-0.808672389920853,-1.21836644025763,-1.4090591772072,0.282860675143003
"ACADVL",-0.301927930639448,-0.0297973304950421,-0.487570675991526,-2.15167747482006,-4.92449579074944,-0.482972665462739,-1.9446301775747,-0.201467135744397,0.385496105041883,-2.51590586410807,0.347014421883055,0.159023531331195,0.244858176210668,0.694292266145948,0.485238793257942,0.184315003887298,-6.60025557214875,0.700344539400829,0.800206274065031,0.683735447854938,-2.49574455132746,1.02594782839388
"ACAP3",-0.00011489409721505,0.186949948329591,0.726640767501946,0.402463091838121,0.941225266346677,0.651170507591016,0.609456676362967,-0.0207195675233063,-0.740633107201884,1.26721104917864,0.353417797690889,0.249162181756877,-0.065364145782334,-0.348706507640956,0.0658450123303872,-0.128854558735985,0.316953767108318,0.595625715490479,-0.604113981221848,0.348438573702003,-0.492360178642492,-0.304233889135795
"ACBD3",-0.712444054419853,-1.55365199269381,0.595235342275374,-1.3380956884094,0.38557712292911,-0.938643882014862,0.454452453441836,-0.834010138045011,0.562927061103849,-0.0545771600872112,0.658785688905669,0.945577465223282,0.778199288708188,-1.54574316786172,-0.333133934125022,0.028270482702671,0.0833713053873417,-0.815882176589859,0.294014209276804,0.445294047130384,0.738196021847028,-0.566678236671881
"ACBD4",0.192158768090468,-0.885806076386958,0.53835514784523,-0.549615237589109,0.4419255159475,-0.729260187648386,-1.29087607538854,0.322526193118229,0.337601286303777,-0.13853855988155,0.23588316329437,0.022122003687372,0.16139656595322,-0.229489429695563,0.377989962789113,-0.17322706558989,-1.1319039929238,0.455265331079996,-0.452272509704409,0.908274486726163,-0.708966599210781,0.752079259965724
"ACBD5",-1.97538980182564,-0.0864713815090911,-0.92631180577478,-0.961901873890989,-0.545490435265796,0.00358059560166887,0.276432149028798,0.13827615135904,0.529670029115545,-2.26502211040472,0.340746163993988,1.57533518513433,0.699089377590304,1.14036414137469,0.998950531998674,1.05600392158896,-0.355219412099071,-0.765253587338247,-0.685728102536048,0.0297713608385684,0.42955475599566,0.698593330799864
"ACBD6",0.000717759330585538,-0.0966350025268702,0.88741308310454,-0.199006491260148,-0.867177549228169,-0.452054002654762,0.935791778978098,-1.04556483880026,0.80692631717116,0.903397518667972,1.0054576244876,0.855664001488648,0.272610061514032,-0.48771524187375,-0.232290899211742,-1.26425560349831,-0.275767385893803,0.307472225284477,-0.0936254721624408,0.215699052125164,0.263958087423475,-0.199790915955621
"ACBD7",0.274937430148105,0.197059868644547,0.247773195025947,-0.0883498545626251,0.671866304647466,-0.079643088718054,1.1967133399431,0.918663760782406,-1.21500384178436,-3.54871713058572,-1.76160256168573,1.40806361523163,-0.0536850095827331,-0.271352143602185,0.621588012188908,-0.690957595618478,-0.884672341613176,0.530847251363584,-0.428357558473613,0.167716019179554,-0.123097197856093,-0.477013300341582
"ACCSL",0.115138184516439,0.338000637775111,-0.231019326987452,-0.141306535196482,1.22349873441015,0.0938611599330957,-0.675186773849054,-0.217767267090265,-0.590344205687879,0.584164783144343,-1.14399813884059,1.70819135226653,0.50239485612969,-0.236160018735069,-0.309204635880425,-0.515749504424708,-0.0585316572417793,0.961600109027027,0.0667517540021372,-0.464264251922006,-0.136612042900141,-0.0393845847773565
"ACD",-0.579000805827586,-0.115153629371509,-1.27060956348923,1.18362770315484,0.409780429370855,-0.0342662308982473,0.0859510287706373,-0.638221897242401,-2.80909258092268,-0.18345009765805,-0.148485591884811,0.307732859403959,-2.54820952534205,0.268496604881294,0.412394126644709,-1.09529826640987,0.877752222323414,0.834799233989585,-0.156428489753727,0.460226838044179,-0.561146515600606,0.41042240296043
"ACIN1",0.240002252081313,-0.22922026932645,0.987871954516333,-0.123466596130016,0.576678984487709,0.637466115583483,0.676733266800729,-0.227655130668642,1.33715449904124,0.778791617432234,1.07883864079611,0.312111044177084,-0.620635813987259,-1.32396950300217,0.151652894775918,-0.64372253033917,0.630910090455379,-0.560211787877783,-0.639809239877368,-1.23261871089867,-0.668872119520476,-0.293795091462022
"ACKR2",-0.028854862029497,0.368163801129746,0.852704867313533,-0.362651083565841,-0.542050140804204,2.01925779172022,-0.915565948681635,-0.220677513630016,1.26016806739309,-2.95580137251956,-1.88679758407486,-0.846450816931237,1.46598040041145,1.30314000907268,-0.246970037191079,0.291958940352215,-0.225858343505156,1.29330319860529,-0.242605761219292,-0.967711129516657,0.987389853318244,1.19446831334755
"ACLY",-1.04811647575764,-0.787815387298236,0.910922698843247,0.262078761287415,-0.846815204167046,-0.219530228403663,0.0619194364123749,-0.487467084207013,0.148160871499276,-0.041372517830031,0.192946847419256,0.202159344326767,0.28539341907572,0.280239074217566,0.631426041681104,0.16776849604771,-0.04401332577445,-0.095420462442937,0.656547144912059,0.75230383110355,0.466470587049881,1.07721355645434
"ACMSD",-0.100688541551809,1.33897304172526,-0.905853122855795,-0.695817569593521,-0.990834618460542,1.31851008232725,-0.0442288421518379,-0.580431681272259,2.72723670108553,1.8666122946933,-2.63322906622882,-1.51105965386805,1.77137930593936,0.954409415255803,0.676271302277411,2.86691401595326,-0.577597193435643,-0.88064572854455,2.02810626150462,2.4411168729663,-0.594895299179434,-0.451831402763567
"ACOT11",0.0390415423773815,-0.902050254250905,-0.45381495836847,-0.634566245286379,0.951845876861653,-1.03504679883416,0.687508533020909,0.414422611494515,0.0584710242477489,0.691168743774443,0.609722225285637,0.206602720484616,0.283474349784034,-0.716391922001472,0.45670131014477,-0.13110171386912,-0.256700933214305,-0.69686959522545,-1.93702838959952,0.568052459064924,0.441137435764625,-3.38694947628829
"ACOT12",0.231591894071219,1.20271610280988,0.138524648627051,0.0535867702609269,0.218015145768761,0.213534592575956,-0.315894659146266,-0.102763144825507,-0.302808535868283,-0.278046424067333,-0.28183805556417,-0.599979630827531,-0.591916473166441,-0.118836107610791,-0.109595895844066,-0.288589678526772,0.163646900637918,0.751842646095681,0.285842628369518,-0.159353601909988,0.16611764807637,0.275485124182292
"ACP1",-0.675304103292403,-0.656781564963909,0.546082397275046,0.509529442270999,-0.774980062095039,0.0244198133008682,1.27466952667669,0.608308531284973,0.684576405572285,-0.111984728060636,-0.105760110188729,0.236942663131454,0.142405985222346,-0.399441704869968,0.436496060257922,0.503838565871896,-0.0654516567584813,-0.468289786705075,-0.536778268151061,0.648662321020627,0.111377981481564,-0.49374550443822
"ACP2",-0.406516672687285,-1.7182011004868,-0.307875127866057,0.0333137281533961,0.875266724443594,-1.59960420705673,0.260067035817402,0.762379976051417,0.169324894668197,0.870770764753698,1.65373786853968,1.26283787627621,-0.00443882709081469,-1.07317298641186,-2.60235005325657,0.347305669225974,-0.281164121205087,-0.209434075980833,1.23643974837368,0.658357589983229,0.275437045953662,-0.048695555081467
"ACPP",-0.587410223261694,0.162369683612477,0.673739516219324,-1.23531425477875,-0.251239141569267,-0.238292945159578,-0.605961910402106,0.751917195537342,-0.208166074241063,-0.14094948923352,1.31594568046021,1.10638744844533,1.09576527375128,-1.84318355078755,0.254660815632385,0.664579739465136,0.647564835915653,-0.302761880572504,0.768046874501056,0.199430690965708,-0.90416818445237,-0.488441368781786
